,Название фильма,Ссылка,Рейтинг,Количество человек,Директор,В главных ролях,Год,Страна,Тип
67,"两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)",https://movie.douban.com/subject/1293350/,9.1,564541,导演: Guy Ritchie,主演: Jason Flemyng / Dexter Fletcher / Nick Moran,1998,英国,剧情 喜剧 犯罪
68,西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜,https://movie.douban.com/subject/1292402/,8.9,920835,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 莫妮卡·贝鲁奇 Monica ...,2000,意大利 美国,剧情 战争 情色
69,音乐之声 / The Sound of Music / 仙乐飘飘处处闻(港)  /  真善美(台),https://movie.douban.com/subject/1294408/,9.1,565399,导演: 罗伯特·怀斯 Robert Wise,主演: 朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,剧情 传记 爱情 歌舞
70,看不见的客人 / Contratiempo / 死无对证(港)  /  布局(台),https://movie.douban.com/subject/26580232/,8.8,1177706,导演: 奥里奥尔·保罗 Oriol Paulo,主演: 马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,剧情 犯罪 悬疑 惊悚
71,拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台),https://movie.douban.com/subject/1292849/,9.1,610601,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 汤姆·汉克斯 Tom Hanks...,1998,美国,剧情 战争
72,飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝(台)  /  飞越喜鹊巢,https://movie.douban.com/subject/1292224/,9.1,521967,导演: 米洛斯·福尔曼 Miloš Forman,主演: 杰克·尼科尔森 Jack Nichols...,1975,美国,剧情
73,小鞋子 / بچه های آسمان / 天堂的孩子  /  小童鞋,https://movie.douban.com/subject/1303021/,9.2,385538,导演: 马基德·马基迪 Majid Majidi,主演: 默罕默德·阿米尔·纳吉 Mohamma...,1997,伊朗,剧情 儿童 家庭
74,阿凡达 / Avatar / 天神下凡(港)  /  化身,https://movie.douban.com/subject/1652587/,8.8,1304381,导演: 詹姆斯·卡梅隆 James Cameron,主演: 萨姆·沃辛顿 Sam Worthington ...,2009,美国,动作 科幻 冒险
75,哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallows: Part 2 / 哈利波特7：死神的圣物2(港 / 台) ,https://movie.douban.com/subject/3011235/,9.0,772600,导演: 大卫·叶茨 David Yates,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国 英国,奇幻 冒险
76,沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊,https://movie.douban.com/subject/1293544/,8.9,830256,导演: 乔纳森·戴米 Jonathan Demme,主演: 朱迪·福斯特 Jodie Foster / 安...,1991,美国,剧情 犯罪 惊悚
77,致命魔术 / The Prestige / 死亡魔法(港)  /  顶尖对决(台),https://movie.douban.com/subject/1780330/,8.9,809740,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 休·杰克曼 Hugh Jackman...,2006,英国 美国,剧情 悬疑 惊悚
78,禁闭岛 / Shutter Island / 不赦岛(港)  /  隔离岛(台),https://movie.douban.com/subject/2334904/,8.9,911952,导演: Martin Scorsese,主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,剧情 悬疑 惊悚
79,布达佩斯大饭店 / The Grand Budapest Hotel / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),https://movie.douban.com/subject/11525673/,8.9,865962,导演: 韦斯·安德森 Wes Anderson,主演: 拉尔夫·费因斯 Ralph Fiennes / ...,2014,美国 德国 英国,剧情 喜剧 冒险
80,海豚湾 / The Cove / 血色海湾(台)  /  海湾,https://movie.douban.com/subject/3442220/,9.3,343891,导演: 路易·西霍尤斯 Louie Psihoyos,主演: Richard O'Barry / 路易·西霍...,2009,美国,纪录片
81,蝴蝶效应 / The Butterfly Effect / 蝴蝶效应,https://movie.douban.com/subject/1292343/,8.9,882560,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,主...,2004,美国 加拿大,剧情 悬疑 科幻 惊悚
82,美国往事 / Once Upon a Time in America / 四海兄弟(台)  /  义薄云天(港),https://movie.douban.com/subject/1292262/,9.2,389430,导演: 赛尔乔·莱翁内 Sergio Leone,主演: 罗伯特·德尼罗 Robert De Niro ...,1984,美国 意大利,犯罪 剧情
83,心灵捕手 / Good Will Hunting / 骄阳似我(港)  /  心灵捕手,https://movie.douban.com/subject/1292656/,8.9,667238,导演: 格斯·范·桑特 Gus Van Sant,主演: 马特·达蒙 Matt Damon / 罗宾·...,1997,美国,剧情
84,低俗小说 / Pulp Fiction / 危险人物(港)  /  黑色追缉令(台),https://movie.douban.com/subject/1291832/,8.9,784060,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,主演: 约翰·特拉沃尔塔 John Tra...,1994,美国,剧情 喜剧 犯罪
85,春光乍泄 / 春光乍洩 / 一起快乐  /  Happy Together,https://movie.douban.com/subject/1292679/,9.0,593349,导演: 王家卫 Kar Wai Wong,主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,中国香港 日本 韩国,剧情 爱情 同性
86,摩登时代 / Modern Times / The Masses  /  Les Temps modernes,https://movie.douban.com/subject/1294371/,9.3,280662,导演: 查理·卓别林 Charles Chaplin,主演: 查理·卓别林 Charles Chaplin ...,1936,美国,剧情 喜剧 爱情
87,功夫 / 功夫3D  /  Kung Fu Hustle,https://movie.douban.com/subject/1291543/,8.8,1032613,导演: 周星驰 Stephen Chow,主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
88,喜剧之王 / 喜劇之王 / King of Comedy,https://movie.douban.com/subject/1302425/,8.8,910490,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,主演: 周星驰 Stephen Ch...,1999,中国香港,喜剧 剧情 爱情
89,七宗罪 / Se7en / 火线追缉令(台)  /  7宗罪,https://movie.douban.com/subject/1292223/,8.8,897536,导演: 大卫·芬奇 David Fincher,主演: 摩根·弗里曼 Morgan Freeman / 布...,1995,美国,剧情 犯罪 悬疑 惊悚
90,哈利·波特与阿兹卡班的囚徒 / Harry Potter and the Prisoner of Azkaban / 哈利波特3：阿兹卡班的逃犯(港 / 台) ,https://movie.douban.com/subject/1291544/,8.9,664263,导演: Alfonso Cuarón,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,2004,英国 美国,奇幻 冒险
91,超脱 / Detachment / 人间师格(台),https://movie.douban.com/subject/5322596/,9.0,535131,导演: 托尼·凯耶 Tony Kaye,主演: 艾德里安·布洛迪 Adrien Brody / 马西...,2011,美国,剧情
92,致命ID / Identity / 杀人游戏  /  致命身份,https://movie.douban.com/subject/1297192/,8.8,768413,导演: 詹姆斯·曼高德 James Mangold,主演: 约翰·库萨克 John Cusack / 雷...,2003,美国,剧情 悬疑 惊悚
93,杀人回忆 / 살인의 추억 / 谋杀回忆  /  杀手回忆录,https://movie.douban.com/subject/1300299/,8.9,661696,导演: 奉俊昊 Joon-ho Bong,主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,韩国,剧情 动作 犯罪 悬疑 惊悚
94,红辣椒 / パプリカ / 盗梦侦探(港 / 台) ,https://movie.douban.com/subject/1865703/,9.1,426033,导演: 今敏 Satoshi Kon,主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006,日本,动画 悬疑 科幻 惊悚
95,加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),https://movie.douban.com/subject/1298070/,8.8,811184,导演: 戈尔·维宾斯基 Gore Verbinski,主演: 约翰尼·德普 Johnny Depp / ...,2003,美国,动作 冒险 奇幻
